DEBUG | id=10081 (Swamp Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10081 (Swamp Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10082 (Marsh Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10082 (Marsh Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10083 (Pitcher's Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10083 (Pitcher's Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10084 (Pasture Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10084 (Pasture Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10085 (Hill's Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10085 (Hill's Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10086 (Meadow Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10086 (Meadow Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10087 (Meadow Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10087 (Meadow Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10088 (Wavy Leaved Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10088 (Wavy Leaved Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10089 (Bull Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10089 (Bull Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10090 (Vancouver Thistle): 'hardiness.min' is empty — setting to null.
DEBUG | id=10090 (Vancouver Thistle): 'hardiness.max' is empty — setting to null.
DEBUG | id=10091 (Pussypaws): 'hardiness.min' is empty — setting to null.
DEBUG | id=10091 (Pussypaws): 'hardiness.max' is empty — setting to null.
DEBUG | id=10092 (Pink Rockrose): 'hardiness.min' is empty — setting to null.
DEBUG | id=10092 (Pink Rockrose): 'hardiness.max' is empty — setting to null.
DEBUG | id=10093 (Colocynth): 'hardiness.min' is empty — setting to null.
DEBUG | id=10093 (Colocynth): 'hardiness.max' is empty — setting to null.
DEBUG | id=10094 (Watermelon): 'hardiness.min' is empty — setting to null.
DEBUG | id=10094 (Watermelon): 'hardiness.max' is empty — setting to null.
DEBUG | id=10095 (Weedy Dog-Fennel): 'hardiness.min' is empty — setting to null.
DEBUG | id=10095 (Weedy Dog-Fennel): 'hardiness.max' is empty — setting to null.
DEBUG | id=10096 (Twig Rush): 'hardiness.min' is empty — setting to null.
DEBUG | id=10096 (Twig Rush): 'hardiness.max' is empty — setting to null.
DEBUG | id=10098 (Northwestern Clarkie): 'hardiness.min' is empty — setting to null.
DEBUG | id=10098 (Northwestern Clarkie): 'hardiness.max' is empty — setting to null.
DEBUG | id=10099 (Lindley Clarkie): 'hardiness.min' is empty — setting to null.
DEBUG | id=10099 (Lindley Clarkie): 'hardiness.max' is empty — setting to null.
DEBUG | id=10100 (Slender Clarkia): 'hardiness.min' is empty — setting to null.
DEBUG | id=10100 (Slender Clarkia): 'hardiness.max' is empty — setting to null.
DEBUG | id=10101 (Pink Fairies): 'hardiness.min' is empty — setting to null.
DEBUG | id=10101 (Pink Fairies): 'hardiness.max' is empty — setting to null.
DEBUG | id=10102 (Small Flowered Godetia): 'hardiness.min' is empty — setting to null.
DEBUG | id=10102 (Small Flowered Godetia): 'hardiness.max' is empty — setting to null.
DEBUG | id=2382 (carnation): 'hardiness.min' is empty — setting to null.
DEBUG | id=2382 (carnation): 'hardiness.max' is empty — setting to null.
DEBUG | id=3894 (hosta): 'hardiness.min' is empty — setting to null.
DEBUG | id=3894 (hosta): 'hardiness.max' is empty — setting to null.
DEBUG | id=4625 (lettuce): 'hardiness.min' is empty — setting to null.
DEBUG | id=4625 (lettuce): 'hardiness.max' is empty — setting to null.
DEBUG | id=5441 (five spot): 'hardiness.min' is empty — setting to null.
DEBUG | id=5441 (five spot): 'hardiness.max' is empty — setting to null.
DEBUG | id=6285 (shrubby cinquefoil): 'hardiness.min' is empty — setting to null.
DEBUG | id=6285 (shrubby cinquefoil): 'hardiness.max' is empty — setting to null.
DEBUG | id=6649 (rhododendron): 'hardiness.min' is empty — setting to null.
DEBUG | id=6649 (rhododendron): 'hardiness.max' is empty — setting to null.
DEBUG | id=6987 (black-eyed Susan): 'hardiness.min' is empty — setting to null.
DEBUG | id=6987 (black-eyed Susan): 'hardiness.max' is empty — setting to null.
DEBUG | id=7223 (pincushion flower): 'hardiness.min' is empty — setting to null.
DEBUG | id=7223 (pincushion flower): 'hardiness.max' is empty — setting to null.
DEBUG | id=8423 (Alderleaf Buckthorn): 'hardiness.min' is empty — setting to null.
DEBUG | id=8423 (Alderleaf Buckthorn): 'hardiness.max' is empty — setting to null.
DEBUG | id=8424 (American Bugleweed): 'hardiness.min' is empty — setting to null.
DEBUG | id=8424 (American Bugleweed): 'hardiness.max' is empty — setting to null.
DEBUG | id=8425 (American Green Alder): 'hardiness.min' is empty — setting to null.
DEBUG | id=8425 (American Green Alder): 'hardiness.max' is empty — setting to null.
DEBUG | id=8426 (Baldhip Rose): 'hardiness.min' is empty — setting to null.
DEBUG | id=8426 (Baldhip Rose): 'hardiness.max' is empty — setting to null.
DEBUG | id=8427 (Balsam Poplar): 'hardiness.min' is empty — setting to null.
DEBUG | id=8427 (Balsam Poplar): 'hardiness.max' is empty — setting to null.
DEBUG | id=8428 (Beaked Hazel): 'hardiness.min' is empty — setting to null.
DEBUG | id=8428 (Beaked Hazel): 'hardiness.max' is empty — setting to null.
DEBUG | id=8429 (Bebb Willow): 'hardiness.min' is empty — setting to null.
DEBUG | id=8429 (Bebb Willow): 'hardiness.max' is empty — setting to null.
DEBUG | id=8430 (Black Huckleberry): 'hardiness.min' is empty — setting to null.
DEBUG | id=8430 (Black Huckleberry): 'hardiness.max' is empty — setting to null.
DEBUG | id=8431 (Black Raspberry): 'hardiness.min' is empty — setting to null.
DEBUG | id=8431 (Black Raspberry): 'hardiness.max' is empty — setting to null.
DEBUG | id=8432 (Blue Elderberry): 'hardiness.min' is empty — setting to null.
DEBUG | id=8432 (Blue Elderberry): 'hardiness.max' is empty — setting to null.
DEBUG | id=8433 (Blue Eyed Grass): 'hardiness.min' is empty — setting to null.
DEBUG | id=8433 (Blue Eyed Grass): 'hardiness.max' is empty — setting to null.
DEBUG | id=8434 (Bog Birch): 'hardiness.min' is empty — setting to null.
DEBUG | id=8434 (Bog Birch): 'hardiness.max' is empty — setting to null.
DEBUG | id=8435 (Bog Laurel): 'hardiness.min' is empty — setting to null.
DEBUG | id=8435 (Bog Laurel): 'hardiness.max' is empty — setting to null.
DEBUG | id=8437 (Broad Leaf Stonecrop): 'hardiness.min' is empty — setting to null.
DEBUG | id=8437 (Broad Leaf Stonecrop): 'hardiness.max' is empty — setting to null.
DEBUG | id=8438 (Canada Mayflower): 'hardiness.min' is empty — setting to null.
DEBUG | id=8438 (Canada Mayflower): 'hardiness.max' is empty — setting to null.
DEBUG | id=8439 (Canada plum): 'hardiness.min' is empty — setting to null.
DEBUG | id=8439 (Canada plum): 'hardiness.max' is empty — setting to null.
DEBUG | id=8440 (Canada Rosebay/ Rhodora): 'hardiness.min' is empty — setting to null.
DEBUG | id=8440 (Canada Rosebay/ Rhodora): 'hardiness.max' is empty — setting to null.
DEBUG | id=8441 (Canada Yew): 'hardiness.min' is empty — setting to null.
DEBUG | id=8441 (Canada Yew): 'hardiness.max' is empty — setting to null.
DEBUG | id=8443 (Canadian Gooseberry): 'hardiness.min' is empty — setting to null.
DEBUG | id=8443 (Canadian Gooseberry): 'hardiness.max' is empty — setting to null.
DEBUG | id=8444 (Cascara): 'hardiness.min' is empty — setting to null.
DEBUG | id=8444 (Cascara): 'hardiness.max' is empty — setting to null.
DEBUG | id=8445 (Clustered Wild Rose): 'hardiness.min' is empty — setting to null.
DEBUG | id=8445 (Clustered Wild Rose): 'hardiness.max' is empty — setting to null.
DEBUG | id=8446 (Common Blackberry): 'hardiness.min' is empty — setting to null.
DEBUG | id=8446 (Common Blackberry): 'hardiness.max' is empty — setting to null.
DEBUG | id=8448 (Common Woolly Sunflower): 'hardiness.min' is empty — setting to null.
DEBUG | id=8448 (Common Woolly Sunflower): 'hardiness.max' is empty — setting to null.
DEBUG | id=8449 (Common Yellow Monkey flower): 'hardiness.min' is empty — setting to null.
DEBUG | id=8449 (Common Yellow Monkey flower): 'hardiness.max' is empty — setting to null.
DEBUG | id=8450 (Cut-Leaved Anemone): 'hardiness.min' is empty — setting to null.
DEBUG | id=8450 (Cut-Leaved Anemone): 'hardiness.max' is empty — setting to null.
DEBUG | id=8453 (Dotted Blazing Star): 'hardiness.min' is empty — setting to null.
DEBUG | id=8453 (Dotted Blazing Star): 'hardiness.max' is empty — setting to null.
DEBUG | id=8454 (Douglas Maple): 'hardiness.min' is empty — setting to null.
DEBUG | id=8454 (Douglas Maple): 'hardiness.max' is empty — setting to null.
DEBUG | id=8455 (Dwarf Birch): 'hardiness.min' is empty — setting to null.
DEBUG | id=8455 (Dwarf Birch): 'hardiness.max' is empty — setting to null.
DEBUG | id=8456 (Early Blue Violet): 'hardiness.min' is empty — setting to null.
DEBUG | id=8456 (Early Blue Violet): 'hardiness.max' is empty — setting to null.
DEBUG | id=8457 (Hairy Beardtongue): 'hardiness.min' is empty — setting to null.
DEBUG | id=8457 (Hairy Beardtongue): 'hardiness.max' is empty — setting to null.
DEBUG | id=8458 (Holly Leaved Barberry): 'hardiness.min' is empty — setting to null.
DEBUG | id=8458 (Holly Leaved Barberry): 'hardiness.max' is empty — setting to null.
DEBUG | id=8459 (Meadow Willow): 'hardiness.min' is empty — setting to null.
DEBUG | id=8459 (Meadow Willow): 'hardiness.max' is empty — setting to null.
DEBUG | id=8461 (Northern bugleweed): 'hardiness.min' is empty — setting to null.
DEBUG | id=8461 (Northern bugleweed): 'hardiness.max' is empty — setting to null.
DEBUG | id=8462 (Orange Honeysuckle): 'hardiness.min' is empty — setting to null.
DEBUG | id=8462 (Orange Honeysuckle): 'hardiness.max' is empty — setting to null.
DEBUG | id=8463 (Oregon Ash): 'hardiness.min' is empty — setting to null.
DEBUG | id=8463 (Oregon Ash): 'hardiness.max' is empty — setting to null.
